,playerID,year,tmID,lgID,GP,Min,W,L,T/OL,SHO,GA,PostGP,PostMin,PostW,PostL,PostT,PostSHO,PostGA,firstName,lastName,HOF
4,adamsjo02,1972,BOS,NHL,14.0,780.0,9.0,3.0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John,Adams,0.0
5,adamsjo02,1974,WAS,NHL,8.0,400.0,0.0,7.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John,Adams,0.0
6,aebisda01,2000,COL,NHL,26.0,1393.0,12.0,7.0,3.0,3.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
7,aebisda01,2001,COL,NHL,21.0,1184.0,13.0,6.0,0.0,2.0,37.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,David,Aebischer,0.0
8,aebisda01,2002,COL,NHL,22.0,1235.0,7.0,12.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
9,aebisda01,2003,COL,NHL,62.0,3703.0,32.0,19.0,9.0,4.0,129.0,11.0,662.0,6.0,5.0,0.0,1.0,23.0,David,Aebischer,0.0
10,aebisda01,2005,COL,NHL,43.0,2477.0,25.0,14.0,2.0,3.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
11,aebisda01,2005,MTL,NHL,7.0,418.0,4.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
12,aebisda01,2006,MTL,NHL,32.0,1760.0,13.0,12.0,3.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
13,aebisda01,2007,PHO,NHL,1.0,60.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Aebischer,0.0
18,allenbr01,2011,STL,NHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Bryan,Allen,0.0
22,andercr01,2002,CHI,NHL,6.0,270.0,0.0,3.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
23,andercr01,2003,CHI,NHL,21.0,1205.0,6.0,14.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
24,andercr01,2005,CHI,NHL,29.0,1553.0,6.0,12.0,4.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
25,andercr01,2006,FLO,NHL,5.0,217.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
26,andercr01,2007,FLO,NHL,17.0,935.0,8.0,6.0,1.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
27,andercr01,2008,FLO,NHL,31.0,1636.0,15.0,7.0,5.0,3.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
28,andercr01,2009,COL,NHL,71.0,4235.0,38.0,25.0,7.0,7.0,186.0,6.0,366.0,2.0,4.0,0.0,1.0,16.0,Craig,Anderson,0.0
29,andercr01,2010,COL,NHL,33.0,1810.0,13.0,15.0,3.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
30,andercr01,2010,OTT,NHL,18.0,1055.0,11.0,5.0,1.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig,Anderson,0.0
34,askeyto01,1997,ANA,NHL,7.0,273.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom,Askey,0.0
35,askeyto01,1998,ANA,NHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,2.0,Tom,Askey,0.0
36,astroha01,1977,NYR,NHL,4.0,240.0,2.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hardy,Astrom,0.0
37,astroha01,1979,COR,NHL,49.0,2574.0,9.0,27.0,6.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hardy,Astrom,0.0
38,astroha01,1980,COR,NHL,30.0,1642.0,6.0,15.0,6.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hardy,Astrom,0.0
39,aubinje01,1998,PIT,NHL,17.0,756.0,4.0,3.0,6.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
40,aubinje01,1999,PIT,NHL,51.0,2789.0,23.0,21.0,3.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
41,aubinje01,2000,PIT,NHL,36.0,2050.0,20.0,14.0,1.0,0.0,107.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
42,aubinje01,2001,PIT,NHL,21.0,1094.0,3.0,12.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
43,aubinje01,2002,PIT,NHL,21.0,1132.0,6.0,13.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
44,aubinje01,2003,PIT,NHL,22.0,1067.0,7.0,9.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
45,aubinje01,2005,TOR,NHL,11.0,677.0,9.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
46,aubinje01,2006,TOR,NHL,20.0,804.0,3.0,5.0,2.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
47,aubinje01,2007,LAK,NHL,19.0,828.0,5.0,6.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Sebastien,Aubin,0.0
53,auldal01,2001,VAN,NHL,1.0,60.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
54,auldal01,2002,VAN,NHL,7.0,382.0,3.0,3.0,0.0,1.0,10.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,Alex,Auld,0.0
55,auldal01,2003,VAN,NHL,6.0,349.0,2.0,2.0,2.0,0.0,12.0,3.0,222.0,1.0,2.0,0.0,0.0,9.0,Alex,Auld,0.0
56,auldal01,2005,VAN,NHL,67.0,3859.0,33.0,26.0,6.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
57,auldal01,2006,FLO,NHL,27.0,1471.0,7.0,13.0,5.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
58,auldal01,2007,PHO,NHL,9.0,509.0,3.0,6.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
59,auldal01,2007,BOS,NHL,23.0,1213.0,9.0,7.0,5.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
60,auldal01,2008,OTT,NHL,43.0,2449.0,16.0,18.0,7.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
61,auldal01,2009,DAL,NHL,21.0,1181.0,9.0,6.0,3.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
62,auldal01,2009,NYR,NHL,3.0,119.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
63,auldal01,2010,MTL,NHL,16.0,749.0,6.0,2.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Auld,0.0
66,bacasja01,2005,STL,NHL,19.0,966.0,4.0,10.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason,Bacashihua,0.0
67,bacasja01,2006,STL,NHL,19.0,894.0,3.0,7.0,3.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason,Bacashihua,0.0
68,bachmri01,2010,DAL,NHL,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard,Bachman,0.0
69,bachry01,1998,LAK,NHL,3.0,108.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan,Bach,0.0
70,backljo01,2009,PHI,NHL,1.0,40.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Johan,Backlund,0.0
71,backsni01,2006,MIN,NHL,41.0,2227.0,23.0,8.0,6.0,5.0,73.0,5.0,297.0,1.0,4.0,0.0,0.0,11.0,Niklas,Backstrom,0.0
72,backsni01,2007,MIN,NHL,58.0,3409.0,33.0,13.0,8.0,4.0,131.0,6.0,361.0,2.0,4.0,0.0,0.0,17.0,Niklas,Backstrom,0.0
73,backsni01,2008,MIN,NHL,71.0,4088.0,37.0,24.0,8.0,8.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas,Backstrom,0.0
74,backsni01,2009,MIN,NHL,60.0,3489.0,26.0,23.0,8.0,2.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas,Backstrom,0.0
75,backsni01,2010,MIN,NHL,51.0,2978.0,22.0,23.0,5.0,3.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas,Backstrom,0.0
76,bailesc01,1995,BOS,NHL,11.0,571.0,5.0,1.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott,Bailey,0.0
77,bailesc01,1996,BOS,NHL,8.0,394.0,1.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott,Bailey,0.0
79,bakerst01,1979,NYR,NHL,27.0,1391.0,9.0,8.0,6.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve,Baker,0.0
80,bakerst01,1980,NYR,NHL,21.0,1260.0,10.0,6.0,5.0,2.0,73.0,14.0,826.0,7.0,7.0,0.0,0.0,55.0,Steve,Baker,0.0
81,bakerst01,1981,NYR,NHL,6.0,328.0,1.0,5.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve,Baker,0.0
82,bakerst01,1982,NYR,NHL,3.0,102.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve,Baker,0.0
83,balesmi01,1992,BOS,NHL,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike,Bales,0.0
84,balesmi01,1994,OTT,NHL,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike,Bales,0.0
85,balesmi01,1995,OTT,NHL,20.0,1040.0,2.0,14.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike,Bales,0.0
86,balesmi01,1996,OTT,NHL,1.0,52.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike,Bales,0.0
87,bannemu01,1977,VAN,NHL,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Murray,Bannerman,0.0
88,bannemu01,1980,CHI,NHL,15.0,865.0,2.0,10.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Murray,Bannerman,0.0
89,bannemu01,1981,CHI,NHL,29.0,1671.0,11.0,12.0,4.0,1.0,116.0,10.0,555.0,5.0,4.0,0.0,0.0,35.0,Murray,Bannerman,0.0
