,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
73,actonke01,1993,NYI,NHL,C,71.0,2.0,7.0,9.0,50.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Keith Acton
188,afflebr01,1983,NYI,NHL,D,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruce Affleck
237,aivazmi01,1995,NYI,NHL,C,12.0,0.0,1.0,1.0,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Micah Aivazoff
511,andermi01,1999,NYI,NHL,L,19.0,0.0,3.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mikael Andersson
514,anderni01,1995,NYI,NHL,L,47.0,14.0,12.0,26.0,12.0,-3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas Andersson
515,anderni01,1996,NYI,NHL,L,74.0,12.0,31.0,43.0,57.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas Andersson
517,anderni01,1999,NYI,NHL,L,17.0,3.0,7.0,10.0,8.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niklas Andersson
773,archida01,1996,NYI,NHL,C,7.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave Archibald
806,armstde01,1993,NYI,NHL,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Derek Armstrong
807,armstde01,1995,NYI,NHL,C,19.0,1.0,3.0,4.0,14.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Derek Armstrong
808,armstde01,1996,NYI,NHL,C,50.0,6.0,7.0,13.0,33.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Derek Armstrong
932,ashamar01,2002,NYI,NHL,R,78.0,15.0,19.0,34.0,57.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,Arron Asham
933,ashamar01,2003,NYI,NHL,L,79.0,12.0,12.0,24.0,92.0,-12.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,Arron Asham
934,ashamar01,2005,NYI,NHL,R,63.0,9.0,15.0,24.0,103.0,-5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arron Asham
935,ashamar01,2006,NYI,NHL,R,80.0,11.0,12.0,23.0,63.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Arron Asham
1059,aucoiad01,2001,NYI,NHL,D,81.0,12.0,22.0,34.0,62.0,23.0,7.0,0.0,7.0,2.0,5.0,7.0,4.0,2.0,0.0,0.0,Adrian Aucoin
1060,aucoiad01,2002,NYI,NHL,D,73.0,8.0,27.0,35.0,70.0,-5.0,5.0,0.0,5.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,Adrian Aucoin
1061,aucoiad01,2003,NYI,NHL,D,81.0,13.0,31.0,44.0,54.0,29.0,4.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Adrian Aucoin
1327,bailejo01,2008,NYI,NHL,C,68.0,7.0,18.0,25.0,16.0,-14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Bailey
1328,bailejo01,2009,NYI,NHL,C,73.0,16.0,19.0,35.0,18.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Bailey
1329,bailejo01,2010,NYI,NHL,C,70.0,11.0,17.0,28.0,37.0,-13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Bailey
1330,bailejo01,2011,NYI,NHL,C,80.0,13.0,19.0,32.0,32.0,-10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Bailey
1733,bassebo01,1985,NYI,NHL,C,11.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Bob Bassen
1734,bassebo01,1986,NYI,NHL,C,77.0,7.0,10.0,17.0,89.0,-17.0,0.0,0.0,14.0,1.0,2.0,3.0,21.0,0.0,0.0,0.0,Bob Bassen
1735,bassebo01,1987,NYI,NHL,C,77.0,6.0,16.0,22.0,99.0,8.0,1.0,0.0,6.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,Bob Bassen
1736,bassebo01,1988,NYI,NHL,C,19.0,1.0,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bob Bassen
1767,batessh01,2001,NYI,NHL,L,71.0,17.0,35.0,52.0,30.0,18.0,1.0,4.0,7.0,2.0,4.0,6.0,11.0,1.0,0.0,0.0,Shawn Bates
1768,batessh01,2002,NYI,NHL,L,74.0,13.0,29.0,42.0,52.0,-9.0,1.0,6.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Shawn Bates
1769,batessh01,2003,NYI,NHL,C,69.0,9.0,23.0,32.0,46.0,-8.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Shawn Bates
1770,batessh01,2005,NYI,NHL,C,66.0,15.0,19.0,34.0,60.0,-11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shawn Bates
1771,batessh01,2006,NYI,NHL,C,48.0,4.0,6.0,10.0,34.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shawn Bates
1772,batessh01,2007,NYI,NHL,C,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shawn Bates
1833,baumgke01,1989,NYI,NHL,D,53.0,0.0,5.0,5.0,194.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,Ken Baumgartner
1834,baumgke01,1990,NYI,NHL,L,78.0,1.0,6.0,7.0,282.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Baumgartner
1835,baumgke01,1991,NYI,NHL,L,44.0,0.0,1.0,1.0,202.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Baumgartner
2032,beersbo01,1994,NYI,NHL,D,22.0,2.0,7.0,9.0,6.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bob Beers
2033,beersbo01,1995,NYI,NHL,D,13.0,0.0,5.0,5.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bob Beers
2063,bekarde01,2003,NYI,NHL,L,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Derek Bekar
2105,belanje01,2000,NYI,NHL,C,12.0,0.0,0.0,0.0,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesse Belanger
2107,belanke01,1995,NYI,NHL,L,7.0,0.0,0.0,0.0,27.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Belanger
2108,belanke01,1996,NYI,NHL,L,18.0,0.0,2.0,2.0,102.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Belanger
2109,belanke01,1997,NYI,NHL,L,37.0,3.0,1.0,4.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Belanger
2110,belanke01,1998,NYI,NHL,L,9.0,1.0,1.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ken Belanger
2345,bentise01,2008,NYI,NHL,L,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sean Bentivoglio
2396,berarbr01,1996,NYI,NHL,D,82.0,8.0,40.0,48.0,86.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan Berard
2397,berarbr01,1997,NYI,NHL,D,75.0,14.0,32.0,46.0,59.0,-32.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan Berard
2398,berarbr01,1998,NYI,NHL,D,31.0,4.0,11.0,15.0,26.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan Berard
2406,berarbr01,2007,NYI,NHL,D,54.0,5.0,17.0,22.0,48.0,-17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan Berard
2477,bergbi01,1988,NYI,NHL,L,7.0,1.0,2.0,3.0,10.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Berg
2478,bergbi01,1990,NYI,NHL,L,78.0,9.0,14.0,23.0,67.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Berg
2479,bergbi01,1991,NYI,NHL,L,47.0,5.0,9.0,14.0,28.0,-18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Berg
2480,bergbi01,1992,NYI,NHL,L,22.0,6.0,3.0,9.0,49.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Berg
2501,bergema01,1988,NYI,NHL,D,58.0,2.0,13.0,15.0,62.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Bergevin
2502,bergema01,1989,NYI,NHL,D,18.0,0.0,4.0,4.0,30.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Marc Bergevin
2524,bergema02,2006,NYI,NHL,D,23.0,6.0,15.0,21.0,10.0,5.0,4.0,0.0,5.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,Marc-Andre Bergeron
2525,bergema02,2007,NYI,NHL,D,46.0,9.0,9.0,18.0,16.0,-14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc-Andre Bergeron
