,playerID,year,tmID,lgID,GP,Min,W,L,T/OL,SHO,GA,PostGP,PostMin,PostW,PostL,PostT,PostSHO,PostGA,HOF,name
318,bironma01,2009,NYI,NHL,29.0,1634.0,9.0,14.0,4.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Biron
464,broderi01,1979,NYI,NHL,2.0,80.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richard Brodeur
737,cousima01,1998,NYI,NHL,6.0,293.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marcel Cousineau
825,danisya01,2008,NYI,NHL,31.0,1760.0,10.0,17.0,3.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yann Danis
880,desjage01,1972,NYI,NHL,44.0,2498.0,5.0,35.0,3.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gerry Desjardins
881,desjage01,1973,NYI,NHL,36.0,1945.0,9.0,17.0,6.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gerry Desjardins
905,dipieri01,2000,NYI,NHL,20.0,1083.0,3.0,15.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
906,dipieri01,2002,NYI,NHL,10.0,585.0,2.0,5.0,2.0,0.0,29.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
907,dipieri01,2003,NYI,NHL,50.0,2844.0,23.0,18.0,5.0,5.0,112.0,5.0,303.0,1.0,4.0,0.0,1.0,11.0,0.0,Rick DiPietro
908,dipieri01,2005,NYI,NHL,63.0,3572.0,30.0,24.0,5.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
909,dipieri01,2006,NYI,NHL,62.0,3627.0,32.0,19.0,9.0,5.0,156.0,4.0,236.0,1.0,3.0,0.0,0.0,13.0,0.0,Rick DiPietro
910,dipieri01,2007,NYI,NHL,63.0,3707.0,26.0,28.0,7.0,3.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
911,dipieri01,2008,NYI,NHL,5.0,256.0,1.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
912,dipieri01,2009,NYI,NHL,8.0,462.0,2.0,5.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
913,dipieri01,2010,NYI,NHL,26.0,1533.0,8.0,14.0,4.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rick DiPietro
931,drapeto01,1993,NYI,NHL,7.0,227.0,1.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Draper
958,dubiewa01,2003,NYI,NHL,2.0,105.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Dubielewicz
959,dubiewa01,2005,NYI,NHL,7.0,310.0,2.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Dubielewicz
960,dubiewa01,2006,NYI,NHL,8.0,379.0,4.0,1.0,0.0,0.0,13.0,1.0,59.0,0.0,1.0,0.0,0.0,4.0,0.0,Wade Dubielewicz
961,dubiewa01,2007,NYI,NHL,20.0,1132.0,9.0,9.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Dubielewicz
981,dunhami01,2006,NYI,NHL,19.0,979.0,4.0,10.0,3.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Dunham
1133,fichaer01,1995,NYI,NHL,24.0,1234.0,7.0,12.0,2.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Fichaud
1134,fichaer01,1996,NYI,NHL,34.0,1759.0,9.0,14.0,4.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Fichaud
1135,fichaer01,1997,NYI,NHL,17.0,807.0,3.0,8.0,3.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Fichaud
1156,fitzpma01,1988,NYI,NHL,11.0,627.0,3.0,5.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Fitzpatrick
1157,fitzpma01,1989,NYI,NHL,47.0,2653.0,19.0,19.0,5.0,3.0,150.0,4.0,152.0,0.0,2.0,0.0,0.0,13.0,0.0,Mark Fitzpatrick
1158,fitzpma01,1990,NYI,NHL,2.0,120.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Fitzpatrick
1159,fitzpma01,1991,NYI,NHL,30.0,1743.0,11.0,13.0,5.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Fitzpatrick
