,year,lgID,tmID,G,W,L,T,OTL,Pts,GF,GA,name,PIM,PPG,PPC,SHA,PKG,PKC,SHF,post_G,post_W,post_L,post_T,post_GF,post_GA,post_PIM,post_PPG,post_PKG,SC_champs
0,1972,NHL,ATF,78,25,38,15.0,0.0,65,191,239,Atlanta Flames,852.0,38.0,265.0,5.0,48.0,266.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1972,NHL,BOS,78,51,22,5.0,0.0,107,330,235,Boston Bruins,1097.0,67.0,241.0,5.0,43.0,275.0,15.0,5.0,1.0,4.0,0.0,11.0,22.0,66.0,1.0,4.0,0.0
2,1972,NHL,BUF,78,37,27,14.0,0.0,88,257,219,Buffalo Sabres,940.0,52.0,270.0,5.0,35.0,241.0,5.0,6.0,2.0,4.0,0.0,16.0,21.0,59.0,4.0,4.0,0.0
3,1972,NHL,CHI,78,42,27,9.0,0.0,93,284,225,Chicago Black Hawks,864.0,52.0,244.0,4.0,51.0,255.0,10.0,16.0,10.0,6.0,0.0,60.0,53.0,155.0,14.0,9.0,0.0
4,1972,NHL,CLF,78,16,46,16.0,0.0,48,213,323,California Golden Seals,840.0,41.0,250.0,4.0,56.0,242.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1972,NHL,DET,78,37,29,12.0,0.0,86,265,243,Detroit Red Wings,893.0,53.0,268.0,8.0,40.0,261.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1972,NHL,LAK,78,31,36,11.0,0.0,73,232,245,Los Angeles Kings,888.0,52.0,295.0,10.0,31.0,229.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1972,NHL,MNS,78,37,30,11.0,0.0,85,254,230,Minnesota North Stars,881.0,37.0,237.0,7.0,59.0,265.0,1.0,6.0,2.0,4.0,0.0,12.0,14.0,112.0,3.0,4.0,0.0
8,1972,NHL,MTL,78,52,10,16.0,0.0,120,329,184,Montreal Canadiens,783.0,52.0,239.0,4.0,37.0,235.0,9.0,17.0,12.0,5.0,0.0,73.0,52.0,179.0,15.0,12.0,1.0
9,1972,NHL,NYI,78,12,60,6.0,0.0,30,170,347,New York Islanders,881.0,28.0,258.0,13.0,63.0,261.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1972,NHL,NYR,78,47,23,8.0,0.0,102,297,208,New York Rangers,765.0,54.0,238.0,5.0,39.0,250.0,5.0,10.0,5.0,5.0,0.0,33.0,26.0,98.0,5.0,5.0,0.0
11,1972,NHL,PHI,78,37,30,11.0,0.0,85,296,256,Philadelphia Flyers,1756.0,74.0,257.0,4.0,68.0,360.0,10.0,11.0,5.0,6.0,0.0,27.0,31.0,205.0,6.0,8.0,0.0
12,1972,NHL,PIT,78,32,37,9.0,0.0,73,257,265,Pittsburgh Penguins,866.0,52.0,301.0,7.0,49.0,264.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1972,NHL,STL,78,32,34,12.0,0.0,76,233,251,St. Louis Blues,1195.0,37.0,251.0,1.0,51.0,272.0,6.0,5.0,1.0,4.0,0.0,9.0,22.0,51.0,2.0,4.0,0.0
14,1972,NHL,TOR,78,27,41,10.0,0.0,64,247,279,Toronto Maple Leafs,716.0,44.0,274.0,8.0,51.0,239.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1972,NHL,VAN,78,22,47,9.0,0.0,53,233,339,Vancouver Canucks,943.0,47.0,282.0,6.0,59.0,255.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1973,NHL,ATF,78,30,34,14.0,0.0,74,214,238,Atlanta Flames,841.0,44.0,264.0,6.0,46.0,223.0,1.0,4.0,0.0,4.0,0.0,6.0,17.0,123.0,2.0,5.0,0.0
29,1973,NHL,BOS,78,52,17,9.0,0.0,113,349,221,Boston Bruins,968.0,65.0,225.0,2.0,48.0,258.0,12.0,16.0,10.0,6.0,0.0,58.0,44.0,349.0,12.0,12.0,0.0
30,1973,NHL,BUF,78,32,34,12.0,0.0,76,242,250,Buffalo Sabres,787.0,48.0,256.0,12.0,42.0,237.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1973,NHL,CHI,78,41,14,23.0,0.0,105,272,164,Chicago Black Hawks,877.0,55.0,255.0,5.0,26.0,208.0,8.0,11.0,6.0,5.0,0.0,30.0,35.0,196.0,9.0,9.0,0.0
32,1973,NHL,CLF,78,13,55,10.0,0.0,36,195,342,California Golden Seals,651.0,34.0,268.0,14.0,46.0,221.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1973,NHL,DET,78,29,39,10.0,0.0,68,255,319,Detroit Red Wings,917.0,59.0,274.0,13.0,49.0,238.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1973,NHL,LAK,78,33,33,12.0,0.0,78,233,231,Los Angeles Kings,1055.0,43.0,284.0,9.0,48.0,246.0,4.0,5.0,1.0,4.0,0.0,7.0,10.0,109.0,2.0,1.0,0.0
35,1973,NHL,MNS,78,23,38,17.0,0.0,63,235,275,Minnesota North Stars,821.0,37.0,207.0,5.0,51.0,254.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1973,NHL,MTL,78,45,24,9.0,0.0,99,293,240,Montreal Canadiens,761.0,51.0,254.0,7.0,51.0,217.0,12.0,6.0,2.0,4.0,0.0,17.0,21.0,91.0,2.0,3.0,0.0
37,1973,NHL,NYI,78,19,41,18.0,0.0,56,182,247,New York Islanders,1075.0,32.0,230.0,13.0,63.0,262.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1973,NHL,NYR,78,40,24,14.0,0.0,94,300,251,New York Rangers,782.0,66.0,222.0,2.0,45.0,239.0,9.0,13.0,7.0,6.0,0.0,38.0,39.0,245.0,7.0,8.0,0.0
39,1973,NHL,PHI,78,50,16,12.0,0.0,112,273,164,Philadelphia Flyers,1750.0,60.0,269.0,6.0,49.0,422.0,20.0,17.0,12.0,5.0,0.0,54.0,36.0,578.0,14.0,9.0,1.0
40,1973,NHL,PIT,78,28,41,9.0,0.0,65,242,273,Pittsburgh Penguins,950.0,47.0,276.0,4.0,47.0,245.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1973,NHL,STL,78,26,40,12.0,0.0,64,206,248,St. Louis Blues,1147.0,39.0,275.0,9.0,56.0,313.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1973,NHL,TOR,78,35,27,16.0,0.0,86,274,230,Toronto Maple Leafs,903.0,51.0,280.0,7.0,49.0,266.0,5.0,4.0,0.0,4.0,0.0,9.0,17.0,45.0,1.0,2.0,0.0
43,1973,NHL,VAN,78,24,43,11.0,0.0,59,224,296,Vancouver Canucks,952.0,55.0,279.0,8.0,70.0,269.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1974,NHL,ATF,80,34,31,15.0,0.0,83,243,233,Atlanta Flames,915.0,56.0,283.0,9.0,56.0,270.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1974,NHL,BOS,80,40,26,14.0,0.0,94,345,245,Boston Bruins,1153.0,86.0,299.0,10.0,59.0,316.0,14.0,3.0,1.0,2.0,0.0,15.0,12.0,47.0,2.0,4.0,0.0
58,1974,NHL,BUF,80,49,16,15.0,0.0,113,354,240,Buffalo Sabres,1229.0,83.0,303.0,5.0,56.0,326.0,17.0,17.0,10.0,7.0,0.0,53.0,58.0,276.0,13.0,15.0,0.0
59,1974,NHL,CHI,80,37,35,8.0,0.0,82,268,241,Chicago Black Hawks,1112.0,71.0,327.0,7.0,62.0,311.0,3.0,8.0,3.0,5.0,0.0,22.0,35.0,142.0,5.0,9.0,0.0
60,1974,NHL,CLF,80,19,48,13.0,0.0,51,212,316,California Golden Seals,1101.0,48.0,359.0,13.0,67.0,267.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1974,NHL,DET,80,23,45,12.0,0.0,58,259,335,Detroit Red Wings,1078.0,76.0,355.0,14.0,69.0,339.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1974,NHL,KCS,80,15,54,11.0,0.0,41,184,328,Kansas City Scouts,744.0,57.0,351.0,6.0,53.0,233.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1974,NHL,LAK,80,42,17,21.0,0.0,105,269,185,Los Angeles Kings,1185.0,52.0,288.0,7.0,48.0,327.0,10.0,3.0,1.0,2.0,0.0,6.0,7.0,82.0,2.0,0.0,0.0
64,1974,NHL,MNS,80,23,50,7.0,0.0,53,221,341,Minnesota North Stars,1106.0,45.0,293.0,10.0,81.0,303.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1974,NHL,MTL,80,47,14,19.0,0.0,113,374,225,Montreal Canadiens,1155.0,92.0,350.0,10.0,54.0,314.0,8.0,11.0,6.0,5.0,0.0,49.0,30.0,154.0,13.0,5.0,0.0
66,1974,NHL,NYI,80,33,25,22.0,0.0,88,264,221,New York Islanders,1116.0,51.0,273.0,7.0,55.0,340.0,11.0,17.0,9.0,8.0,0.0,47.0,50.0,377.0,15.0,9.0,0.0
67,1974,NHL,NYR,80,37,29,14.0,0.0,88,319,276,New York Rangers,1053.0,84.0,296.0,7.0,54.0,295.0,6.0,3.0,1.0,2.0,0.0,13.0,10.0,113.0,3.0,3.0,0.0
68,1974,NHL,PHI,80,51,18,11.0,0.0,113,293,181,Philadelphia Flyers,1969.0,64.0,257.0,6.0,74.0,466.0,15.0,17.0,12.0,5.0,0.0,53.0,34.0,335.0,11.0,14.0,1.0
69,1974,NHL,PIT,80,37,28,15.0,0.0,89,326,289,Pittsburgh Penguins,1119.0,64.0,323.0,11.0,63.0,324.0,13.0,9.0,5.0,4.0,0.0,27.0,27.0,126.0,5.0,7.0,0.0
70,1974,NHL,STL,80,35,31,14.0,0.0,84,269,267,St. Louis Blues,1275.0,50.0,286.0,5.0,77.0,329.0,6.0,2.0,0.0,2.0,0.0,6.0,9.0,56.0,2.0,3.0,0.0
71,1974,NHL,TOR,80,31,33,16.0,0.0,78,280,309,Toronto Maple Leafs,1079.0,60.0,340.0,10.0,76.0,304.0,11.0,7.0,2.0,5.0,0.0,13.0,21.0,108.0,4.0,5.0,0.0
72,1974,NHL,VAN,80,38,32,10.0,0.0,86,271,254,Vancouver Canucks,965.0,70.0,337.0,5.0,59.0,300.0,5.0,5.0,1.0,4.0,0.0,9.0,20.0,77.0,2.0,3.0,0.0
73,1974,NHL,WAS,80,8,67,5.0,0.0,21,181,446,Washington Capitals,1085.0,48.0,372.0,18.0,94.0,328.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1975,NHL,ATF,80,35,33,12.0,0.0,82,262,237,Atlanta Flames,928.0,56.0,292.0,5.0,43.0,277.0,7.0,2.0,0.0,2.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0
89,1975,NHL,BOS,80,48,15,17.0,0.0,113,313,237,Boston Bruins,1195.0,77.0,289.0,6.0,56.0,345.0,9.0,12.0,5.0,7.0,0.0,38.0,33.0,209.0,14.0,6.0,0.0
90,1975,NHL,BUF,80,46,21,13.0,0.0,105,339,240,Buffalo Sabres,943.0,73.0,287.0,8.0,51.0,304.0,6.0,9.0,4.0,5.0,0.0,25.0,29.0,162.0,2.0,7.0,0.0
91,1975,NHL,CHI,80,32,30,18.0,0.0,82,254,261,Chicago Black Hawks,944.0,72.0,341.0,8.0,53.0,305.0,9.0,4.0,0.0,4.0,0.0,3.0,13.0,67.0,2.0,3.0,0.0
92,1975,NHL,CLF,80,27,42,11.0,0.0,65,250,278,California Golden Seals,1058.0,71.0,382.0,10.0,52.0,262.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1975,NHL,DET,80,26,44,10.0,0.0,62,226,300,Detroit Red Wings,1922.0,47.0,307.0,6.0,86.0,422.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1975,NHL,KCS,80,12,56,12.0,0.0,36,190,351,Kansas City Scouts,984.0,46.0,352.0,17.0,80.0,295.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1975,NHL,LAK,80,38,33,9.0,0.0,85,263,265,Los Angeles Kings,1022.0,61.0,334.0,12.0,55.0,298.0,8.0,9.0,5.0,4.0,0.0,17.0,27.0,151.0,5.0,11.0,0.0
96,1975,NHL,MNS,80,20,53,7.0,0.0,47,195,303,Minnesota North Stars,1191.0,48.0,331.0,16.0,82.0,309.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1975,NHL,MTL,80,58,11,11.0,0.0,127,337,174,Montreal Canadiens,977.0,75.0,282.0,0.0,44.0,290.0,7.0,13.0,12.0,1.0,0.0,44.0,26.0,187.0,11.0,9.0,1.0
98,1975,NHL,NYI,80,42,21,17.0,0.0,101,297,190,New York Islanders,1277.0,92.0,290.0,4.0,55.0,377.0,11.0,13.0,7.0,6.0,0.0,43.0,39.0,247.0,9.0,7.0,0.0
99,1975,NHL,NYR,80,29,42,9.0,0.0,67,262,333,New York Rangers,911.0,67.0,323.0,11.0,68.0,277.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1975,NHL,PHI,80,51,13,16.0,0.0,118,348,209,Philadelphia Flyers,1980.0,83.0,290.0,4.0,83.0,480.0,14.0,16.0,8.0,8.0,0.0,61.0,49.0,444.0,13.0,20.0,0.0
101,1975,NHL,PIT,80,35,33,12.0,0.0,82,339,303,Pittsburgh Penguins,1004.0,75.0,307.0,13.0,68.0,292.0,8.0,3.0,1.0,2.0,0.0,3.0,8.0,25.0,1.0,2.0,0.0
102,1975,NHL,STL,80,29,37,14.0,0.0,72,249,290,St. Louis Blues,1274.0,55.0,298.0,3.0,98.0,376.0,21.0,3.0,1.0,2.0,0.0,8.0,7.0,54.0,2.0,0.0,0.0
103,1975,NHL,TOR,80,34,31,15.0,0.0,83,294,276,Toronto Maple Leafs,1368.0,67.0,348.0,9.0,77.0,321.0,11.0,10.0,5.0,5.0,0.0,31.0,36.0,266.0,14.0,9.0,0.0
104,1975,NHL,VAN,80,33,32,15.0,0.0,81,271,272,Vancouver Canucks,1122.0,68.0,345.0,9.0,71.0,291.0,6.0,2.0,0.0,2.0,0.0,4.0,8.0,19.0,2.0,1.0,0.0
105,1975,NHL,WAS,80,11,59,10.0,0.0,32,224,394,Washington Capitals,951.0,53.0,375.0,3.0,64.0,252.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1976,NHL,ATF,80,34,34,12.0,0.0,80,264,265,Atlanta Flames,889.0,42.0,214.0,6.0,50.0,248.0,12.0,3.0,1.0,2.0,0.0,7.0,11.0,96.0,2.0,3.0,0.0
